capitald;Asia;Africa;North America;South America;Oceania;Europe;continentName;grandeTaille;petiteTaille;grandeTaille;petiteTaille;avgTaille;beaucoupPeuple;peuPeuple;beaucoupPeuple;peuPeuple;avgPopulation;Riviere;Altitudes;Altitude;continental;costal;tempContinental;desertique;polaire;tropical;tempere;metro;touristique;Gratte-ciel
TÇürshavn;false;false;false;false;false;true;Europe;false;true;false;true;petit;false;true;false;true;petit;false;false;24;false;true;false;false;true;false;false;false;true;false
Monaco;false;false;false;false;false;true;Europe;false;true;false;true;petit;false;true;false;true;petit;false;false;0;false;true;false;false;false;false;true;false;false;false
Mariehamn;false;false;false;false;false;true;Europe;false;true;false;true;petit;false;true;false;true;petit;false;false;0;false;true;false;false;true;false;false;false;true;false
Longyearbyen;false;false;false;false;false;true;Europe;false;true;false;true;petit;false;true;false;true;petit;false;false;0;false;true;false;false;true;false;false;false;false;false
Vatican City;false;false;false;false;false;true;Europe;false;true;false;true;petit;false;true;false;true;petit;false;false;19;true;false;false;false;false;false;true;false;true;false
Port-aux-FranÇõais;false;false;false;false;false;false;Antarctica;false;true;false;true;petit;false;true;false;true;petit;false;false;12;false;true;false;false;true;false;false;false;true;false
Sarajevo;false;false;false;false;false;true;Europe;false;true;false;true;petit;true;false;true;false;grand;true;true;518;true;false;true;false;false;false;false;false;true;false
San JosÇ¸;false;false;true;false;false;false;North America;false;true;false;true;petit;true;false;true;false;grand;false;true;1146;false;true;false;false;false;true;false;false;true;false
Zagreb;false;false;false;false;false;true;Europe;false;true;false;true;petit;true;false;true;false;grand;true;false;130;true;false;false;false;false;false;true;false;true;false
Chi?inŸu;false;false;false;false;false;true;Europe;false;true;false;true;petit;true;false;true;false;grand;false;false;80;true;false;true;false;false;false;false;false;true;false
